Bureau of Meteorology station number,Location,Latitude,Longitude,Product code,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality,Date,Rainfall category
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,10,0.2,1.0,Y,2012-07-10,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,11,9.2,1.0,Y,2012-07-11,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,12,0.0,0.0,Y,2012-07-12,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,13,14.0,1.0,Y,2012-07-13,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,14,4.6,1.0,Y,2012-07-14,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,16,12.8,2.0,Y,2012-07-16,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,17,0.0,0.0,Y,2012-07-17,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,18,4.6,1.0,Y,2012-07-18,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,19,0.8,1.0,Y,2012-07-19,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,20,0.0,0.0,Y,2012-07-20,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,21,1.2,1.0,Y,2012-07-21,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,22,0.0,0.0,Y,2012-07-22,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,23,0.0,0.0,Y,2012-07-23,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,24,0.0,0.0,Y,2012-07-24,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,25,0.0,0.0,Y,2012-07-25,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,26,6.8,1.0,Y,2012-07-26,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,27,7.0,1.0,Y,2012-07-27,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,28,7.2,1.0,Y,2012-07-28,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,29,4.2,1.0,Y,2012-07-29,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,30,4.8,1.0,Y,2012-07-30,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,31,1.6,1.0,Y,2012-07-31,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,1,0.0,0.0,Y,2012-08-01,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,2,0.0,0.0,Y,2012-08-02,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,3,1.0,1.0,Y,2012-08-03,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,4,4.4,1.0,Y,2012-08-04,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,5,0.0,0.0,Y,2012-08-05,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,6,14.2,1.0,Y,2012-08-06,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,7,0.0,0.0,Y,2012-08-07,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,8,0.0,0.0,Y,2012-08-08,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,9,21.6,1.0,Y,2012-08-09,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,10,23.0,1.0,Y,2012-08-10,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,11,7.0,1.0,Y,2012-08-11,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,12,0.8,1.0,Y,2012-08-12,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,13,0.0,0.0,Y,2012-08-13,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,14,0.0,0.0,Y,2012-08-14,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,15,12.0,1.0,Y,2012-08-15,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,16,2.2,1.0,Y,2012-08-16,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,17,13.2,1.0,Y,2012-08-17,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,18,9.4,1.0,Y,2012-08-18,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,19,16.0,1.0,Y,2012-08-19,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,20,0.8,1.0,Y,2012-08-20,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,21,0.0,0.0,Y,2012-08-21,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,22,0.0,0.0,Y,2012-08-22,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,23,0.0,0.0,Y,2012-08-23,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,24,4.0,1.0,Y,2012-08-24,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,25,9.0,1.0,Y,2012-08-25,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,26,2.4,1.0,Y,2012-08-26,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,27,0.0,0.0,Y,2012-08-27,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,28,0.0,0.0,Y,2012-08-28,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,29,0.0,0.0,Y,2012-08-29,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,30,4.6,1.0,Y,2012-08-30,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,8,31,31.0,1.0,Y,2012-08-31,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,9,1,3.0,1.0,Y,2012-09-01,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,9,2,0.0,0.0,Y,2012-09-02,0
